Player,RECEIVING_REC_proj,RECEIVING_YDS_proj,RECEIVING_TDS,RUSHING_ATT_proj,RUSHING_YDS_proj,RUSHING_TDS,MISC_FL_proj,FPTS_proj,Team_proj,Week,Year,Position_proj,Unnamed: 0_level_0_Rank,RECEIVING_REC_actual,RECEIVING_TGT,RECEIVING_YDS_actual,RECEIVING_Y/R,RECEIVING_LG,RECEIVING_20+,RECEIVING_TD,RUSHING_ATT_actual,RUSHING_YDS_actual,RUSHING_TD,MISC_FL_actual,MISC_G,FPTS_actual,MISC_FPTS/G,MISC_ROST,Team_actual,Position_actual
Jamal Agnew,0.7,8.4,0.1,0.4,2.1,0.0,0.0,2.1,ATL,1,2021,WR,135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0%,ATL,WR
K.J. Osborn,0.7,10.4,0.1,0.0,0.2,0.0,0.0,2.0,WAS,1,2021,WR,35.0,7.0,9.0,76.0,10.9,25.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,14.6,14.6,1.4%,WAS,WR
Jauan Jennings,0.7,8.2,0.1,0.0,0.2,0.0,0.0,2.0,SF,1,2021,WR,,,,,,,,,,,,,,,,,,
Tutu Atwell,0.7,8.5,0.1,0.0,0.1,0.0,0.0,1.9,LAR,1,2021,WR,,,,,,,,,,,,,,,,,,
Demetric Felton Jr.,0.6,4.3,0.0,0.0,5.2,0.0,0.0,1.9,WAS,1,2021,WR,,,,,,,,,,,,,,,,,,
Collin Johnson,0.8,8.6,0.0,0.0,0.0,0.0,0.0,1.8,LV,1,2021,WR,,,,,,,,,,,,,,,,,,
Cedrick Wilson Jr.,0.7,7.9,0.0,0.0,0.1,0.0,0.0,1.8,NO,1,2021,WR,80.0,3.0,3.0,24.0,8.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.4,5.4,1.1%,NO,WR
Chris Moore,0.6,7.3,0.0,0.0,0.0,0.0,0.0,1.6,WAS,1,2021,WR,,,,,,,,,,,,,,,,,,
Phillip Dorsett II,0.6,6.8,0.0,0.0,0.0,0.0,0.0,1.5,LV,1,2021,WR,,,,,,,,,,,,,,,,,,
Trent Sherfield Sr.,0.6,7.6,0.0,0.0,0.0,0.0,0.0,1.5,DEN,1,2021,WR,56.0,2.0,3.0,23.0,11.5,18.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,10.3,10.3,0.1%,DEN,WR
Zay Jones,0.5,5.6,0.0,0.0,0.0,0.0,0.0,1.3,ARI,1,2021,WR,44.0,2.0,2.0,46.0,23.0,31.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,12.6,12.6,1.0%,ARI,WR
Simi Fehoko,0.5,6.0,0.0,0.0,0.1,0.0,0.0,1.3,ARI,1,2021,WR,,,,,,,,,,,,,,,,,,
Gunner Olszewski,0.4,5.0,0.0,0.2,0.9,0.0,0.0,1.1,NYG,1,2021,WR,123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0%,NYG,WR
Michael Strachan,0.4,5.6,0.0,0.0,0.1,0.0,0.0,1.1,WAS,1,2021,WR,88.0,2.0,2.0,26.0,13.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.6,4.6,0.0%,WAS,WR
Nick Westbrook-Ikhine,0.4,4.9,0.0,0.0,0.0,0.0,0.0,1.1,MIA,1,2021,WR,107.0,1.0,2.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.9%,MIA,WR
Ray-Ray McCloud III,0.5,4.3,0.0,0.1,0.6,0.0,0.0,1.0,ATL,1,2021,WR,133.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.8%,ATL,WR
Steven Sims Jr.,0.3,4.3,0.0,0.0,0.0,0.0,0.0,0.9,SEA,1,2021,WR,,,,,,,,,,,,,,,,,,
Tyler Johnson,0.3,4.4,0.0,0.0,0.0,0.0,0.0,0.9,NYJ,1,2021,WR,137.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.1%,NYJ,WR
James Proche II,0.4,4.3,0.0,0.0,0.1,0.0,0.0,0.9,TEN,1,2021,WR,,,,,,,,,,,,,,,,,,
KhaDarel Hodge,0.4,4.5,0.0,0.0,0.0,0.0,0.0,0.8,ATL,1,2021,WR,,,,,,,,,,,,,,,,,,
DeAndre Carter,0.3,4.0,0.0,0.0,0.3,0.0,0.0,0.8,CLE,1,2021,WR,143.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0%,CLE,WR
